name,easting_m,northing_m,working_platform_level_m,diameter_m,total_length_m,zone_name,,,,,,
CMC-142,502952.172,2443924.728,6.25,0.6,16,Boundary Wall,,,,,,
CMC-143,502951.178,2443926.464,6.25,0.6,16,Boundary Wall,,,,,,
CMC-144,502950.183,2443928.199,6.25,0.6,16,Boundary Wall,,,,,,
CMC-145,502949.189,2443929.934,6.25,0.6,16,Boundary Wall,,,,,,
CMC-146,502948.194,2443931.67,6.25,0.6,16,Boundary Wall,,,,,,
CMC-147,502947.2,2443933.405,6.25,0.6,16,Boundary Wall,,,,,,
CMC-148,502946.205,2443935.14,6.25,0.6,16,Boundary Wall,,,,,,
CMC-149,502945.211,2443936.876,6.25,0.6,16,Boundary Wall,,,,,,
CMC-150,502944.216,2443938.611,6.25,0.6,16,Boundary Wall,,,,,,
CMC-151,502943.222,2443940.347,6.25,0.6,16,Boundary Wall,,,,,,
CMC-152,502942.227,2443942.082,6.25,0.6,16,Boundary Wall,,,,,,
CMC-153,502972.802,2443892.751,6.25,0.6,16,Boundary Wall,,,,,,
CMC-154,502971.808,2443894.486,6.25,0.6,16,Boundary Wall,,,,,,
CMC-155,502970.813,2443896.222,6.25,0.6,16,Boundary Wall,,,,,,
CMC-156,502969.819,2443897.957,6.25,0.6,16,Boundary Wall,,,,,,
CMC-157,502968.825,2443899.692,6.25,0.6,16,Boundary Wall,,,,,,
CMC-158,502967.83,2443901.428,6.25,0.6,16,Boundary Wall,,,,,,
CMC-159,502966.836,2443903.163,6.25,0.6,16,Boundary Wall,,,,,,
CMC-160,502965.841,2443904.898,6.25,0.6,16,Boundary Wall,,,,,,
CMC-161,502964.847,2443906.634,6.25,0.6,16,Boundary Wall,,,,,,
CMC-162,502963.852,2443908.369,6.25,0.6,16,Boundary Wall,,,,,,
CMC-163,502962.858,2443910.104,6.25,0.6,16,Boundary Wall,,,,,,
CMC-164,502961.863,2443911.84,6.25,0.6,16,Boundary Wall,,,,,,
CMC-165,502960.869,2443913.575,6.25,0.6,16,Boundary Wall,,,,,,
CMC-166,502959.874,2443915.311,6.25,0.6,16,Boundary Wall,,,,,,
CMC-167,502958.88,2443917.046,6.25,0.6,16,Boundary Wall,,,,,,
CMC-168,502957.885,2443918.781,6.25,0.6,16,Boundary Wall,,,,,,
CMC-169,502956.891,2443920.517,6.25,0.6,16,Boundary Wall,,,,,,
CMC-170,502955.896,2443922.252,6.25,0.6,16,Boundary Wall,,,,,,
CMC-171,502954.902,2443923.987,6.25,0.6,16,Boundary Wall,,,,,,
CMC-172,502953.908,2443925.723,6.25,0.6,16,Boundary Wall,,,,,,
CMC-173,502952.913,2443927.458,6.25,0.6,16,Boundary Wall,,,,,,
CMC-174,502951.919,2443929.194,6.25,0.6,16,Boundary Wall,,,,,,
CMC-175,502950.924,2443930.929,6.25,0.6,16,Boundary Wall,,,,,,
CMC-176,502949.93,2443932.664,6.25,0.6,16,Boundary Wall,,,,,,
CMC-177,502948.935,2443934.4,6.25,0.6,16,Boundary Wall,,,,,,
CMC-178,502947.941,2443936.135,6.25,0.6,16,Boundary Wall,,,,,,
CMC-179,502946.946,2443937.87,6.25,0.6,16,Boundary Wall,,,,,,
CMC-180,502945.952,2443939.606,6.25,0.6,16,Boundary Wall,,,,,,
CMC-181,502944.957,2443941.341,6.25,0.6,16,Boundary Wall,,,,,,
CMC-182,502943.963,2443943.076,6.25,0.6,16,Boundary Wall,,,,,,
CMC-183,502974.538,2443893.745,6.25,0.6,16,Boundary Wall,,,,,,
CMC-184,502973.544,2443895.481,6.25,0.6,16,Boundary Wall,,,,,,
CMC-185,502972.549,2443897.216,6.25,0.6,16,Boundary Wall,,,,,,
CMC-186,502971.555,2443898.951,6.25,0.6,16,Boundary Wall,,,,,,
CMC-187,502970.56,2443900.687,6.25,0.6,16,Boundary Wall,,,,,,
CMC-188,502969.566,2443902.422,6.25,0.6,16,Boundary Wall,,,,,,
CMC-189,502968.571,2443904.158,6.25,0.6,16,Boundary Wall,,,,,,
CMC-190,502967.577,2443905.893,6.25,0.6,16,Boundary Wall,,,,,,
CMC-191,502966.582,2443907.628,6.25,0.6,16,Boundary Wall,,,,,,
CMC-192,502965.588,2443909.364,6.25,0.6,16,Boundary Wall,,,,,,
CMC-193,502964.593,2443911.099,6.25,0.6,16,Boundary Wall,,,,,,
CMC-194,502963.599,2443912.834,6.25,0.6,16,Boundary Wall,,,,,,
CMC-195,502962.604,2443914.57,6.25,0.6,16,Boundary Wall,,,,,,
CMC-196,502961.61,2443916.305,6.25,0.6,16,Boundary Wall,,,,,,
CMC-197,502960.615,2443918.041,6.25,0.6,16,Boundary Wall,,,,,,
CMC-198,502959.621,2443919.776,6.25,0.6,16,Boundary Wall,,,,,,
CMC-199,502958.627,2443921.511,6.25,0.6,16,Boundary Wall,,,,,,
CMC-200,502957.632,2443923.247,6.25,0.6,16,Boundary Wall,,,,,,
CMC-201,502956.638,2443924.982,6.25,0.6,16,Boundary Wall,,,,,,
CMC-202,502955.643,2443926.717,6.25,0.6,16,Boundary Wall,,,,,,
CMC-203,502954.649,2443928.453,6.25,0.6,16,Boundary Wall,,,,,,
CMC-204,502953.654,2443930.188,6.25,0.6,16,Boundary Wall,,,,,,
CMC-205,502952.66,2443931.923,6.25,0.6,16,Boundary Wall,,,,,,
CMC-206,502951.665,2443933.659,6.25,0.6,16,Boundary Wall,,,,,,
CMC-207,502950.671,2443935.394,6.25,0.6,16,Boundary Wall,,,,,,
CMC-208,502949.676,2443937.13,6.25,0.6,16,Boundary Wall,,,,,,
CMC-209,502948.682,2443938.865,6.25,0.6,16,Boundary Wall,,,,,,
CMC-210,502947.687,2443940.6,6.25,0.6,16,Boundary Wall,,,,,,
CMC-212,502945.698,2443944.071,6.25,0.6,16,Boundary Wall,,,,,,
CMC-213,502976.274,2443894.74,6.25,0.6,16,Boundary Wall,,,,,,
CMC-214,502975.279,2443896.475,6.25,0.6,16,Boundary Wall,,,,,,
CMC-215,502974.285,2443898.211,6.25,0.6,16,Boundary Wall,,,,,,
CMC-216,502973.29,2443899.946,6.25,0.6,16,Boundary Wall,,,,,,
CMC-217,502972.296,2443901.681,6.25,0.6,16,Boundary Wall,,,,,,
CMC-218,502971.301,2443903.417,6.25,0.6,16,Boundary Wall,,,,,,
CMC-219,502970.307,2443905.152,6.25,0.6,16,Boundary Wall,,,,,,
CMC-220,502969.312,2443906.888,6.25,0.6,16,Boundary Wall,,,,,,
CMC-221,502968.318,2443908.623,6.25,0.6,16,Boundary Wall,,,,,,
CMC-222,502967.323,2443910.358,6.25,0.6,16,Boundary Wall,,,,,,
CMC-223,502966.329,2443912.094,6.25,0.6,16,Boundary Wall,,,,,,
CMC-224,502965.334,2443913.829,6.25,0.6,16,Boundary Wall,,,,,,
CMC-225,502964.34,2443915.564,6.25,0.6,16,Boundary Wall,,,,,,
CMC-226,502963.345,2443917.3,6.25,0.6,16,Boundary Wall,,,,,,
CMC-227,502962.351,2443919.035,6.25,0.6,16,Boundary Wall,,,,,,
CMC-228,502961.357,2443920.77,6.25,0.6,16,Boundary Wall,,,,,,
CMC-229,502960.362,2443922.506,6.25,0.6,16,Boundary Wall,,,,,,
CMC-230,502959.368,2443924.241,6.25,0.6,16,Boundary Wall,,,,,,
CMC-231,502958.373,2443925.977,6.25,0.6,16,Boundary Wall,,,,,,
CMC-232,502957.379,2443927.712,6.25,0.6,16,Boundary Wall,,,,,,
CMC-233,502956.384,2443929.447,6.25,0.6,16,Boundary Wall,,,,,,
CMC-234,502955.39,2443931.183,6.25,0.6,16,Boundary Wall,,,,,,
CMC-235,502954.395,2443932.918,6.25,0.6,16,Boundary Wall,,,,,,
CMC-236,502953.401,2443934.653,6.25,0.6,16,Boundary Wall,,,,,,
CMC-237,502952.406,2443936.389,6.25,0.6,16,Boundary Wall,,,,,,
CMC-238,502951.412,2443938.124,6.25,0.6,16,Boundary Wall,,,,,,
CMC-239,502950.417,2443939.86,6.25,0.6,16,Boundary Wall,,,,,,
CMC-240,502949.423,2443941.595,6.25,0.6,16,Boundary Wall,,,,,,
CMC-242,502947.434,2443945.066,6.25,0.6,16,Boundary Wall,,,,,,
CMC-243,502978.009,2443895.735,6.25,0.6,16,Boundary Wall,,,,,,
CMC-244,502977.015,2443897.47,6.25,0.6,16,Boundary Wall,,,,,,
CMC-245,502976.02,2443899.205,6.25,0.6,16,Boundary Wall,,,,,,
CMC-246,502975.026,2443900.941,6.25,0.6,16,Boundary Wall,,,,,,
CMC-247,502974.031,2443902.676,6.25,0.6,16,Boundary Wall,,,,,,
CMC-248,502973.037,2443904.411,6.25,0.6,16,Boundary Wall,,,,,,
CMC-249,502972.042,2443906.147,6.25,0.6,16,Boundary Wall,,,,,,
CMC-250,502971.048,2443907.882,6.25,0.6,16,Boundary Wall,,,,,,
CMC-251,502970.053,2443909.617,6.25,0.6,16,Boundary Wall,,,,,,
CMC-252,502969.059,2443911.353,6.25,0.6,16,Boundary Wall,,,,,,
CMC-253,502968.064,2443913.088,6.25,0.6,16,Boundary Wall,,,,,,
CMC-254,502967.07,2443914.824,6.25,0.6,16,Boundary Wall,,,,,,
CMC-255,502966.076,2443916.559,6.25,0.6,16,Boundary Wall,,,,,,
CMC-256,502965.081,2443918.294,6.25,0.6,16,Boundary Wall,,,,,,
CMC-257,502964.087,2443920.03,6.25,0.6,16,Boundary Wall,,,,,,
CMC-258,502963.092,2443921.765,6.25,0.6,16,Boundary Wall,,,,,,
CMC-259,502962.098,2443923.5,6.25,0.6,16,Boundary Wall,,,,,,
CMC-260,502961.103,2443925.236,6.25,0.6,16,Boundary Wall,,,,,,
CMC-261,502960.109,2443926.971,6.25,0.6,16,Boundary Wall,,,,,,
CMC-262,502959.114,2443928.707,6.25,0.6,16,Boundary Wall,,,,,,
CMC-263,502958.12,2443930.442,6.25,0.6,16,Boundary Wall,,,,,,
CMC-264,502957.125,2443932.177,6.25,0.6,16,Boundary Wall,,,,,,
CMC-265,502956.131,2443933.913,6.25,0.6,16,Boundary Wall,,,,,,
CMC-266,502955.136,2443935.648,6.25,0.6,16,Boundary Wall,,,,,,
CMC-267,502954.142,2443937.383,6.25,0.6,16,Boundary Wall,,,,,,
CMC-268,502953.147,2443939.119,6.25,0.6,16,Boundary Wall,,,,,,
CMC-269,502952.153,2443940.854,6.25,0.6,16,Boundary Wall,,,,,,
CMC-270,502951.159,2443942.589,6.25,0.6,16,Boundary Wall,,,,,,
CMC-271,502950.164,2443944.325,6.25,0.6,16,Boundary Wall,,,,,,
CMC-272,502949.17,2443946.06,6.25,0.6,16,Boundary Wall,,,,,,
CMC-273,502979.745,2443896.729,6.25,0.6,16,Boundary Wall,,,,,,
CMC-274,502978.75,2443898.464,6.25,0.6,16,Boundary Wall,,,,,,
CMC-275,502977.756,2443900.2,6.25,0.6,16,Boundary Wall,,,,,,
